acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,site_id,name,crop_type,is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3
2025-12-12,2,S2B_MSIL2A_20251212T104339_N0511_R008_T31TFK_20251212T113035.SAFE | S2B_MSIL2A_20251212T104339_N0511_R008_T31TFL_20251212T113035.SAFE,2025-12-12T10:48:19.586000+00:00 | 2025-12-12T10:48:33.794000+00:00,9.99,21.315,32.64,2025-12-12T00:00:00Z,2025-12-13T00:00:00Z,52,60,8,52,1.0,0.43351221084594727,0.525383710861206,0.493064288336497,0.024732437284954674,0.46766167879104614,0.48638299107551575,0.4978417158126831,0.5129133462905884,0.5225754380226135,0.0,0.0,0.0,1.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.0014240810504325685,0.4947859704112396
2025-12-14,2,S2C_MSIL2A_20251214T103441_N0511_R108_T31TFK_20251214T141719.SAFE | S2C_MSIL2A_20251214T103441_N0511_R108_T31TFL_20251214T141719.SAFE,2025-12-14T10:38:33.121000+00:00 | 2025-12-14T10:38:47.827000+00:00,18.56,36.214999999999996,53.87,2025-12-14T00:00:00Z,2025-12-15T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-12-16,2,S2A_MSIL2A_20251216T103451_N0511_R108_T31TFK_20251216T141616.SAFE | S2A_MSIL2A_20251216T103451_N0511_R108_T31TFL_20251216T141616.SAFE,2025-12-16T10:38:40.050000+00:00 | 2025-12-16T10:38:54.780000+00:00,99.29,99.64,99.99,2025-12-16T00:00:00Z,2025-12-17T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-12-17,2,S2C_MSIL2A_20251217T104451_N0511_R008_T31TFK_20251217T144413.SAFE | S2C_MSIL2A_20251217T104451_N0511_R008_T31TFL_20251217T144413.SAFE,2025-12-17T10:48:29.817000+00:00 | 2025-12-17T10:48:44.012000+00:00,24.84,34.135,43.43,2025-12-17T00:00:00Z,2025-12-18T00:00:00Z,52,60,24,36,0.6923076923076923,0.13826622068881989,0.25141775608062744,0.1982324086129665,0.026786964838930363,0.16630196571350098,0.18525798618793488,0.20149652659893036,0.21137963235378265,0.2345159351825714,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.29483187972353053,0.39431230141184276
2025-12-19,4,S2A_MSIL2A_20251219T104501_N0511_R008_T31TFK_20251219T142608.SAFE | S2A_MSIL2A_20251219T104501_N0511_R008_T31TFL_20251219T142608.SAFE | S2B_MSIL2A_20251219T103339_N0511_R108_T31TFK_20251219T112213.SAFE | S2B_MSIL2A_20251219T103339_N0511_R108_T31TFL_20251219T112213.SAFE,2025-12-19T10:38:22.906000+00:00 | 2025-12-19T10:38:37.621000+00:00 | 2025-12-19T10:48:38.253000+00:00 | 2025-12-19T10:48:52.477000+00:00,95.89,97.8175,99.16,2025-12-19T00:00:00Z,2025-12-20T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-12-22,2,S2B_MSIL2A_20251222T104349_N0511_R008_T31TFK_20251222T143339.SAFE | S2B_MSIL2A_20251222T104349_N0511_R008_T31TFL_20251222T143339.SAFE,2025-12-22T10:48:20.536000+00:00 | 2025-12-22T10:48:34.751000+00:00,99.99,99.99,99.99,2025-12-22T00:00:00Z,2025-12-23T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-12-24,2,S2C_MSIL2A_20251224T103451_N0511_R108_T31TFK_20251224T141812.SAFE | S2C_MSIL2A_20251224T103451_N0511_R108_T31TFL_20251224T141812.SAFE,2025-12-24T10:38:32.570000+00:00 | 2025-12-24T10:38:47.279000+00:00,62.13,81.05,99.97,2025-12-24T00:00:00Z,2025-12-25T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2025-12-26,2,S2A_MSIL2A_20251226T103501_N0511_R108_T31TFK_20251226T142809.SAFE | S2A_MSIL2A_20251226T103501_N0511_R108_T31TFL_20251226T142809.SAFE,2025-12-26T10:38:44.694000+00:00 | 2025-12-26T10:38:59.412000+00:00,43.13,46.205,49.28,2025-12-26T00:00:00Z,2025-12-27T00:00:00Z,52,60,8,52,1.0,0.10872697830200195,0.45297297835350037,0.35349335005650157,0.10440968076467834,0.1690140813589096,0.3324432671070099,0.4002189040184021,0.42383483052253723,0.4340883791446686,0.0,0.19230769230769232,0.28846153846153844,0.5192307692307693,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.15526094144353506,0.3482633490019884
2025-12-27,2,S2C_MSIL2A_20251227T104451_N0511_R008_T31TFK_20251227T143012.SAFE | S2C_MSIL2A_20251227T104451_N0511_R008_T31TFL_20251227T143012.SAFE,2025-12-27T10:48:29.466000+00:00 | 2025-12-27T10:48:43.659000+00:00,9.91,16.33,22.75,2025-12-27T00:00:00Z,2025-12-28T00:00:00Z,52,60,8,52,1.0,-0.009530069306492805,0.007639569230377674,-0.001736337420879863,0.00444506910518351,-0.006954102776944637,-0.005387484561651945,-0.002478929003700614,0.0017010935116559267,0.004423213191330433,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.35522968747738143,0.1833298070828628
2025-12-29,4,S2A_MSIL2A_20251229T104501_N0511_R008_T31TFK_20251229T144308.SAFE | S2A_MSIL2A_20251229T104501_N0511_R008_T31TFL_20251229T144308.SAFE | S2B_MSIL2A_20251229T103339_N0511_R108_T31TFK_20251229T142007.SAFE | S2B_MSIL2A_20251229T103339_N0511_R108_T31TFL_20251229T142007.SAFE,2025-12-29T10:38:24.184000+00:00 | 2025-12-29T10:38:38.897000+00:00 | 2025-12-29T10:48:42.682000+00:00 | 2025-12-29T10:48:56.889000+00:00,10.95,28.177500000000002,48.24,2025-12-29T00:00:00Z,2025-12-30T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
